X;Y;AVERAGE_GRADE
1430.00000;858.00000;1.92563
1474.00000;858.00000;2.33604
1518.00000;858.00000;2.86338
1562.00000;858.00000;2.97935
1606.00000;858.00000;2.74006
1650.00000;858.00000;2.63833
1694.00000;858.00000;2.80130
1738.00000;858.00000;2.96167
1782.00000;858.00000;3.07920
1826.00000;858.00000;3.31856
66.00000;902.00000;2.22617
110.00000;902.00000;3.11268
154.00000;902.00000;3.86118
198.00000;902.00000;3.19239
242.00000;902.00000;4.65908
286.00000;902.00000;4.49435
330.00000;902.00000;4.92441
374.00000;902.00000;5.03464
418.00000;902.00000;4.23877
462.00000;902.00000;3.44970
506.00000;902.00000;3.49735
550.00000;902.00000;2.90141
594.00000;902.00000;3.08247
638.00000;902.00000;3.20608
682.00000;902.00000;3.16599
726.00000;902.00000;3.78100
770.00000;902.00000;4.26621
814.00000;902.00000;4.84092
858.00000;902.00000;5.30177
902.00000;902.00000;5.51704
946.00000;902.00000;4.91041
990.00000;902.00000;4.61049
1034.00000;902.00000;4.67976
1078.00000;902.00000;4.14671
1122.00000;902.00000;3.66756
1166.00000;902.00000;3.08770
1210.00000;902.00000;2.02477
1254.00000;902.00000;1.34254
1298.00000;902.00000;0.59541
1342.00000;902.00000;0.46237
1386.00000;902.00000;0.62902
1430.00000;902.00000;1.65248
1474.00000;902.00000;1.85581
1518.00000;902.00000;2.41823
1562.00000;902.00000;2.92668
1606.00000;902.00000;2.72412
1650.00000;902.00000;2.53164
1694.00000;902.00000;2.75543
1738.00000;902.00000;2.98856
1782.00000;902.00000;3.15025
1826.00000;902.00000;3.39723
66.00000;946.00000;2.32034
110.00000;946.00000;3.42468
154.00000;946.00000;4.28849
198.00000;946.00000;4.89128
242.00000;946.00000;5.15856
286.00000;946.00000;4.60480
330.00000;946.00000;4.20685
374.00000;946.00000;4.24779
418.00000;946.00000;3.92397
462.00000;946.00000;3.54410
506.00000;946.00000;3.90453
550.00000;946.00000;3.97428
594.00000;946.00000;4.03416
638.00000;946.00000;4.05738
682.00000;946.00000;3.89996
726.00000;946.00000;4.32679
770.00000;946.00000;4.78446
814.00000;946.00000;5.40801
858.00000;946.00000;6.05612
902.00000;946.00000;6.33817
946.00000;946.00000;5.59644
990.00000;946.00000;5.06227
1034.00000;946.00000;4.58425
1078.00000;946.00000;3.95632
1122.00000;946.00000;3.48647
1166.00000;946.00000;2.94157
1210.00000;946.00000;1.68563
1254.00000;946.00000;1.10154
1298.00000;946.00000;0.77452
1342.00000;946.00000;0.59452
1386.00000;946.00000;0.69625
1430.00000;946.00000;1.05960
1474.00000;946.00000;1.45937
1518.00000;946.00000;2.08342
1562.00000;946.00000;2.42737
1606.00000;946.00000;2.46272
1650.00000;946.00000;2.38349
1694.00000;946.00000;2.70754
1738.00000;946.00000;3.04998
1782.00000;946.00000;3.31847
1826.00000;946.00000;3.62781
66.00000;990.00000;3.15001
110.00000;990.00000;4.19733
154.00000;990.00000;5.13804
198.00000;990.00000;5.74192
242.00000;990.00000;5.09292
286.00000;990.00000;4.91691
330.00000;990.00000;4.55323
374.00000;990.00000;4.18889
418.00000;990.00000;3.73524
462.00000;990.00000;3.39151
506.00000;990.00000;3.64689
550.00000;990.00000;3.87846
594.00000;990.00000;4.07324
638.00000;990.00000;4.25472
682.00000;990.00000;4.36083
726.00000;990.00000;4.71767
770.00000;990.00000;5.14022
814.00000;990.00000;5.73469
858.00000;990.00000;6.46938
902.00000;990.00000;6.97043
946.00000;990.00000;5.90026
990.00000;990.00000;5.32026
1034.00000;990.00000;3.73329
1078.00000;990.00000;3.25845
1122.00000;990.00000;2.46713
1166.00000;990.00000;1.95637
1210.00000;990.00000;1.39664
1254.00000;990.00000;1.00625
1298.00000;990.00000;0.89069
1342.00000;990.00000;0.75904
1386.00000;990.00000;0.80091
1430.00000;990.00000;0.98733
1474.00000;990.00000;1.03124
1518.00000;990.00000;1.46808
1562.00000;990.00000;2.02323
1606.00000;990.00000;2.14604
1650.00000;990.00000;2.31689
1694.00000;990.00000;2.62411
1738.00000;990.00000;3.07032
1782.00000;990.00000;3.39073
1826.00000;990.00000;3.63934
66.00000;1034.00000;4.78057
110.00000;1034.00000;5.21379
154.00000;1034.00000;5.83018
198.00000;1034.00000;6.05375
242.00000;1034.00000;6.08285
286.00000;1034.00000;5.81702
330.00000;1034.00000;5.33408
374.00000;1034.00000;4.85965
418.00000;1034.00000;4.09235
462.00000;1034.00000;3.85458
506.00000;1034.00000;3.83660
550.00000;1034.00000;3.94318
594.00000;1034.00000;4.10419
638.00000;1034.00000;4.08119
682.00000;1034.00000;4.05199
726.00000;1034.00000;4.01167
770.00000;1034.00000;4.24944
814.00000;1034.00000;4.93237
858.00000;1034.00000;5.15848
902.00000;1034.00000;5.13977
946.00000;1034.00000;4.99760
990.00000;1034.00000;4.31399
1034.00000;1034.00000;3.59449
1078.00000;1034.00000;2.74525
1122.00000;1034.00000;2.09180
1166.00000;1034.00000;1.58606
1210.00000;1034.00000;1.17144
1254.00000;1034.00000;0.93676
1298.00000;1034.00000;0.86077
1342.00000;1034.00000;0.75543
1386.00000;1034.00000;0.62047
1430.00000;1034.00000;0.54155
1474.00000;1034.00000;0.69993
1518.00000;1034.00000;1.01668
1562.00000;1034.00000;1.10212
1606.00000;1034.00000;1.76816
1650.00000;1034.00000;2.10387
1694.00000;1034.00000;2.45416
1738.00000;1034.00000;2.93371
1782.00000;1034.00000;3.38381
